id,name,link,degrees
56541701200,Zafar Gholinejad,https://www.scopus.com/authid/detail.uri?authorId=56541701200,1
24067074800,Abolfazl Golestani,https://www.scopus.com/authid/detail.uri?authorId=24067074800,1
57773847900,Anna K. Nowak,https://www.scopus.com/authid/detail.uri?authorId=57773847900,1
57195925877,Samantha E. Bowyer,https://www.scopus.com/authid/detail.uri?authorId=57195925877,1
15756810900,Raelene Endersby,https://www.scopus.com/authid/detail.uri?authorId=15756810900,1
57210209388,Sarah J. Dart,https://www.scopus.com/authid/detail.uri?authorId=57210209388,1
57226448553,Muhammad U. Hakeem,https://www.scopus.com/authid/detail.uri?authorId=57226448553,1
55979635200,Solenn Brosseau,https://www.scopus.com/authid/detail.uri?authorId=55979635200,1
55134052300,Gérard Zalcman,https://www.scopus.com/authid/detail.uri?authorId=55134052300,1
57196055820,Wayne J. Aston,https://www.scopus.com/authid/detail.uri?authorId=57196055820,1
57196057677,Danika E. Hope,https://www.scopus.com/authid/detail.uri?authorId=57196057677,1
7005688644,Louis Boon,https://www.scopus.com/authid/detail.uri?authorId=7005688644,1
57220354884,Ian M. Dick,https://www.scopus.com/authid/detail.uri?authorId=57220354884,1
36163602300,Svetlana Ulyanchenko,https://www.scopus.com/authid/detail.uri?authorId=36163602300,1
56228407800,Kathy Emma O'Neill,https://www.scopus.com/authid/detail.uri?authorId=56228407800,1
6602214786,Tanya L. Medley,https://www.scopus.com/authid/detail.uri?authorId=6602214786,1
23018751600,Alison M. Farley,https://www.scopus.com/authid/detail.uri?authorId=23018751600,1
54586208600,Harsh Jayesh Vaidya,https://www.scopus.com/authid/detail.uri?authorId=54586208600,1
7005095967,Natalie F. Blair,https://www.scopus.com/authid/detail.uri?authorId=7005095967,1
36929342600,C. Clare Blackburn,https://www.scopus.com/authid/detail.uri?authorId=36929342600,1
56306019600,Jamie S. Linthorne,https://www.scopus.com/authid/detail.uri?authorId=56306019600,1
7402600597,Barbara Jane Chang,https://www.scopus.com/authid/detail.uri?authorId=7402600597,1
6508092610,Gavin R. Flematti,https://www.scopus.com/authid/detail.uri?authorId=6508092610,1
57206035102,Emilio L. Ghisalberti,https://www.scopus.com/authid/detail.uri?authorId=57206035102,1
16217292000,David C. Sutton,https://www.scopus.com/authid/detail.uri?authorId=16217292000,1
55659418600,Joanne Salmons,https://www.scopus.com/authid/detail.uri?authorId=55659418600,1
55217828000,Esdy N. Rozali,https://www.scopus.com/authid/detail.uri?authorId=55217828000,1
36164343900,Andrea Khong,https://www.scopus.com/authid/detail.uri?authorId=36164343900,1
42761291900,Julie A. Harken,https://www.scopus.com/authid/detail.uri?authorId=42761291900,1
57208532385,Åsa Kristina Õjlert,https://www.scopus.com/authid/detail.uri?authorId=57208532385,1
36706347400,Daniel Nebdal,https://www.scopus.com/authid/detail.uri?authorId=36706347400,1
56610287000,Igor Snapkov,https://www.scopus.com/authid/detail.uri?authorId=56610287000,1
57240891300,Vibeke Olsen,https://www.scopus.com/authid/detail.uri?authorId=57240891300,1
54997529900,Victor Greiff,https://www.scopus.com/authid/detail.uri?authorId=54997529900,1
7003281104,Åslaug Helland,https://www.scopus.com/authid/detail.uri?authorId=7003281104,1
57212540293,Eric Alves,https://www.scopus.com/authid/detail.uri?authorId=57212540293,1
56091171900,Shahama Taifour,https://www.scopus.com/authid/detail.uri?authorId=56091171900,1
7004582187,Riccardo Dolcetti,https://www.scopus.com/authid/detail.uri?authorId=7004582187,1
56245970200,S. Gaudieri,https://www.scopus.com/authid/detail.uri?authorId=56245970200,1
8664576500,Pilar Blancafort,https://www.scopus.com/authid/detail.uri?authorId=8664576500,1
16052630100,Gaurang Jhala,https://www.scopus.com/authid/detail.uri?authorId=16052630100,1
55801673300,Claudia Selck,https://www.scopus.com/authid/detail.uri?authorId=55801673300,1
57221688339,Chun Ting J. Kwong,https://www.scopus.com/authid/detail.uri?authorId=57221688339,1
56652007100,Evan G. Pappas,https://www.scopus.com/authid/detail.uri?authorId=56652007100,1
7403742053,Helen E. Thomas,https://www.scopus.com/authid/detail.uri?authorId=7403742053,1
7004641196,Thomas Kay,https://www.scopus.com/authid/detail.uri?authorId=7004641196,1
15127399300,Balasubramanian Krishnamurthy,https://www.scopus.com/authid/detail.uri?authorId=15127399300,1
54380009300,Vanessa S. Fear,https://www.scopus.com/authid/detail.uri?authorId=54380009300,1
7103200075,Catherine A. Forbes,https://www.scopus.com/authid/detail.uri?authorId=7103200075,1
55305535500,Prerak M. Trivedi,https://www.scopus.com/authid/detail.uri?authorId=55305535500,1
35077143000,Stacey L. Fynch,https://www.scopus.com/authid/detail.uri?authorId=35077143000,1
57203900774,Lucy M. Kennedy,https://www.scopus.com/authid/detail.uri?authorId=57203900774,1
7004405281,Lorraine A. O'Reilly,https://www.scopus.com/authid/detail.uri?authorId=7004405281,1
7102640217,Andreas Strasser,https://www.scopus.com/authid/detail.uri?authorId=7102640217,1
10141200500,Esteban N. Gurzov,https://www.scopus.com/authid/detail.uri?authorId=10141200500,1
35080285800,Kate L. Graham,https://www.scopus.com/authid/detail.uri?authorId=35080285800,1
56010066500,Hyun-ja Ko,https://www.scopus.com/authid/detail.uri?authorId=56010066500,1
7402351612,Robyn M. Sutherland,https://www.scopus.com/authid/detail.uri?authorId=7402351612,1
7102620102,Yifan Zhan,https://www.scopus.com/authid/detail.uri?authorId=7102620102,1
26643380000,Andrew M. Lew,https://www.scopus.com/authid/detail.uri?authorId=26643380000,1
35430984400,Ranjeny Thomas,https://www.scopus.com/authid/detail.uri?authorId=35430984400,1
6603908430,Stuart I. Mannering,https://www.scopus.com/authid/detail.uri?authorId=6603908430,1
57225061026,Yuxing Zhao,https://www.scopus.com/authid/detail.uri?authorId=57225061026,1
7102805685,Carol G. Au,https://www.scopus.com/authid/detail.uri?authorId=7102805685,1
36641521800,Tanya L. Butler,https://www.scopus.com/authid/detail.uri?authorId=36641521800,1
7005029829,Megan C. Sherwood,https://www.scopus.com/authid/detail.uri?authorId=7005029829,1
8505209800,Jonathan R. Egan,https://www.scopus.com/authid/detail.uri?authorId=8505209800,1
7006800614,Kathryn N. North,https://www.scopus.com/authid/detail.uri?authorId=7006800614,1
6603884205,David S. Winlaw,https://www.scopus.com/authid/detail.uri?authorId=6603884205,1
26658422800,Fabian G. Graf,https://www.scopus.com/authid/detail.uri?authorId=26658422800,1
25959254500,Aisling Clare McMahon,https://www.scopus.com/authid/detail.uri?authorId=25959254500,1
7403304886,Sandra T. Cooper,https://www.scopus.com/authid/detail.uri?authorId=7403304886,1
7202085501,Harriet P. Lo,https://www.scopus.com/authid/detail.uri?authorId=7202085501,1
7006304299,Alison G. Compton,https://www.scopus.com/authid/detail.uri?authorId=7006304299,1
7404472925,Baoxue Yang,https://www.scopus.com/authid/detail.uri?authorId=7404472925,1
14058877200,Yeemun Tan,https://www.scopus.com/authid/detail.uri?authorId=14058877200,1
35512397100,Edna C. Hardeman,https://www.scopus.com/authid/detail.uri?authorId=35512397100,1
35450635600,Alan S. Verkman,https://www.scopus.com/authid/detail.uri?authorId=35450635600,1
24172952100,Edward Angus Mc Kay Duckworth,https://www.scopus.com/authid/detail.uri?authorId=24172952100,1
9839314400,Lisa A. Collier,https://www.scopus.com/authid/detail.uri?authorId=9839314400,1
8624856500,Shane N. Collier,https://www.scopus.com/authid/detail.uri?authorId=8624856500,1
