publication eid,author id
2-s2.0-0019860582,6603117699
2-s2.0-0019860582,7005322223
2-s2.0-0019860582,7006380073
2-s2.0-0019860582,7007030028
2-s2.0-0019860582,14324754000
2-s2.0-0019860582,36817543700
2-s2.0-0019860582,51763578100
2-s2.0-0019863329,6506335299
2-s2.0-0019863329,6603815466
2-s2.0-0019863329,7003679756
2-s2.0-0019863329,7005962407
2-s2.0-0019863329,7101646034
2-s2.0-0019863329,7202436291
2-s2.0-0019866929,6508095124
2-s2.0-0019866929,7005034685
2-s2.0-0019866929,7006352388
2-s2.0-0019866929,55287148400
2-s2.0-0019892116,7102822322
2-s2.0-0019892116,7403044116
2-s2.0-0019892116,35918054900
2-s2.0-0019892116,57199699758
2-s2.0-0019943093,7004440335
2-s2.0-0019943093,7005045980
2-s2.0-0019943093,7101913325
2-s2.0-0019943093,57551767800
2-s2.0-0020007605,7006179271
2-s2.0-0020007605,57177342400
2-s2.0-0020049917,6602617893
2-s2.0-0020049917,7202356471
2-s2.0-0020054983,7003652763
2-s2.0-0020054983,35918054900
2-s2.0-0020054983,36882751300
2-s2.0-0020054983,57199699758
2-s2.0-0020072901,6601991074
2-s2.0-0020072901,7004950562
2-s2.0-0020072901,24523903700
2-s2.0-0020081065,7005504774
2-s2.0-0020081065,7202404752
2-s2.0-0020081065,7202436291
2-s2.0-0020119295,6601991074
2-s2.0-0020119295,7004950562
2-s2.0-0020119295,55945182600
2-s2.0-0020325238,6504614688
2-s2.0-0020325238,7005311882
2-s2.0-0020325238,16060985700
2-s2.0-0020325238,57203254320
2-s2.0-0020355746,6508095124
2-s2.0-0020355746,7005034685
2-s2.0-0020355746,7006352388
2-s2.0-0020359705,6603216819
2-s2.0-0020359705,7006380073
2-s2.0-0020359705,7405926089
2-s2.0-0020359705,35966538500
2-s2.0-0020398136,6603890268
2-s2.0-0020398136,7003900475
2-s2.0-0020398136,7006184213
2-s2.0-0020417733,7006380073
2-s2.0-0020417733,7102101753
2-s2.0-0020417733,24447086500
2-s2.0-0020417733,56133362500
2-s2.0-0020417733,57191007279
2-s2.0-0020453006,6601991074
2-s2.0-0020453006,7004950562
2-s2.0-0020453006,24523903700
2-s2.0-0020453006,56628161400
2-s2.0-0020464367,7005939994
2-s2.0-0020464367,7101883836
2-s2.0-0020464367,7102087724
2-s2.0-0020472131,7006811808
2-s2.0-0020472131,7103404188
2-s2.0-0020480094,6603890268
2-s2.0-0020480094,7003900475
2-s2.0-0020480094,7006184213
2-s2.0-0020481120,6602652202
2-s2.0-0020481120,7006179271
2-s2.0-0020481120,7202240774
2-s2.0-0020489898,7003754703
2-s2.0-0020489898,7101883836
2-s2.0-0020489898,7102087724
2-s2.0-0020489898,7103404188
2-s2.0-0020489898,9742651600
2-s2.0-0020489898,16484157000
2-s2.0-0020500042,7004699703
2-s2.0-0020500042,7007031038
2-s2.0-0020512687,7004400303
2-s2.0-0020512687,7101670885
2-s2.0-0020512687,7101720208
2-s2.0-0020512687,7102087724
2-s2.0-0020530686,6602652202
2-s2.0-0020530686,7006179271
2-s2.0-0020530686,7202240774
2-s2.0-0020536583,6601991074
2-s2.0-0020536583,7004950562
2-s2.0-0020536583,55404386400
2-s2.0-0020536835,6701754700
2-s2.0-0020536835,7101883836
2-s2.0-0020536835,7102087724
2-s2.0-0020536835,9742651600
2-s2.0-0020583561,7003796445
2-s2.0-0020583561,7004484250
2-s2.0-0020583561,7005436735
2-s2.0-0020583561,7006380073
2-s2.0-0020583561,7102153220
2-s2.0-0020583561,7403375484
2-s2.0-0020583561,55738801100
2-s2.0-0020583561,56713564500
2-s2.0-0020595773,35918054900
2-s2.0-0020595773,36072060300
2-s2.0-0020595773,57197179745
2-s2.0-0020596664,7102530063
2-s2.0-0020596664,7201781999
2-s2.0-0020596664,35918054900
2-s2.0-0020619242,6701754700
2-s2.0-0020619242,7101883836
2-s2.0-0020619242,7102087724
2-s2.0-0020619242,9742651600
2-s2.0-0020627881,6602617893
2-s2.0-0020627881,7201563238
2-s2.0-0020627881,7202356471
2-s2.0-0020638537,6601991074
2-s2.0-0020638537,7003581137
2-s2.0-0020638537,7004950562
2-s2.0-0020676192,7004344521
2-s2.0-0020676192,7004562625
2-s2.0-0020676192,7101883836
2-s2.0-0020676192,7102087724
2-s2.0-0020676192,7103404188
2-s2.0-0020676192,9742651600
2-s2.0-0020678144,7101883836
2-s2.0-0020678144,7102087724
2-s2.0-0020678144,7103404188
2-s2.0-0020678144,7404530542
2-s2.0-0020678144,9742651600
2-s2.0-0020678144,35838891700
2-s2.0-0020683378,7004344521
2-s2.0-0020683378,7004562625
